cluster,avg_magnitude,max_magnitude,cluster_size,avg_depth,avg_energy,avg_freq,depth_risk,avg_magnitude_norm,max_magnitude_norm,cluster_size_norm,avg_energy_norm,avg_freq_norm,depth_risk_norm,risk_score,risk_label
0,4.438545454545455,7.8,440,13.671702272727273,0.21826638477801238,0.1462205387205387,0.0681584168906471,0.5774931765693898,1.0000000000000002,0.20659971305595412,0.577493176569389,0.19406277012200848,0.7293650595259231,50.887756683697496,High
1,4.491715976331361,6.9,676,60.450974852071,0.2306316224026418,0.06928921031485129,0.016273134842974723,0.6573103570794094,0.7096774193548387,0.3194643711142994,0.6573103570794102,0.08786931455868609,0.11215388560339376,45.36419380266843,Medium
2,4.312577417818009,7.5,2099,145.09154740352548,0.18897149251581563,0.7300778148324598,0.0068450229857437185,0.3883956618515141,0.9032258064516132,1.0,0.38839566185151375,1.0,0.0,53.93591212483376,High
3,4.256666666666667,5.4,30,23.0811,0.17596899224806167,0.016872427983539034,0.0415263422351969,0.3044649730561977,0.22580645161290347,0.010521281683405069,0.3044649730561967,0.015514925772894091,0.4125581845631944,22.906228570719335,Low
4,4.573823529411765,6.6,1020,28.423630392156863,0.2497264021887822,0.1377202856451222,0.033986288798222505,0.7805664991169676,0.6129032258064517,0.4839789574366332,0.7805664991169677,0.18232930254841978,0.32286405455928235,58.43867407748673,High
5,4.440677966101695,5.2,59,22.730084745762714,0.21876231769806828,0.03322870893492358,0.04214059961073514,0.5806944063882247,0.16129032258064524,0.024390243902439025,0.5806944063882254,0.03809259380993351,0.4198651992094322,37.00788073660408,Medium
6,4.407407407407407,5.6,54,17.557962962962964,0.21102497846683865,0.023971193415637818,0.0538852244718749,0.530750149687794,0.29032258064516125,0.021999043519846963,0.5307501496877941,0.025313826261037762,0.5595756028488202,37.075873563355124,Medium
7,4.362222222222223,5.2,45,45.699755555555555,0.20051679586563273,0.022812071330589795,0.021413388316569824,0.4629201950218125,0.16129032258064524,0.017694882831181254,0.46292019502181125,0.023713812558142793,0.1733007418117107,27.143008273374537,Low
8,4.5249999999999995,5.7,76,15.174644736842104,0.23837209302325552,0.03406432748538007,0.061825160074287816,0.7072748267898374,0.3225806451612905,0.03252032520325203,0.7072748267898382,0.03924605395737624,0.6540266066909475,47.82991070930135,Medium
9,4.388571428571429,5.4,35,52.360771428571425,0.20664451827242494,0.018342151675484964,0.018740358754719227,0.5024744308808975,0.22580645161290347,0.01291248206599713,0.5024744308808972,0.017543683637934206,0.141503213713404,28.80898848550973,Low
10,4.569354838709677,6.0,62,19.141451612903225,0.24868717179294794,0.021694544006371913,0.049648854472801235,0.7738583029129105,0.4193548387096775,0.02582496413199426,0.7738583029129106,0.02217121488428855,0.5091810632586525,49.16561671955647,Medium
11,4.4,4.7,14,10.904285714285715,0.20930232558139508,0.015123456790123415,0.08400336013440537,0.5196304849884532,0.0,0.0028694404591104736,0.5196304849884529,0.013100703913496409,0.9178515750512757,39.93769372350896,Medium
12,4.372727272727273,5.3,11,17.37909090909091,0.20295983086680724,0.008080808080808046,0.054409655240639065,0.47868990132269573,0.19354838709677424,0.0014347202295552364,0.4786899013226952,0.0033792650892906706,0.5658140681255941,33.451935078986565,Medium
13,4.345238095238095,5.3,42,20.883309523809526,0.19656699889258,0.021208112874779497,0.04569692709925698,0.43742439238975006,0.19354838709677424,0.016260162601626018,0.4374243923897504,0.021499761474762385,0.46217016465274907,30.311714891542763,Medium
