place,magnitude,longitude,latitude,depth_km,time,year,month,day,energy_index,depth_score,frequency_index,mag_variability,composite_score
"52 km SSE of Jurm, Afghanistan",3.8,71.013,36.4111,101.666,2023-11-10 17:30:27.048,2023,11,10,0.0697674418604648,0.02663175500706856,0.9179012345679012,0.4548569767167484,0.32878039855241736
"143 km NW of Bamboo Flat, India",4.4,91.7107,12.5428,10.0,2023-11-10 15:49:15.815,2023,11,10,0.20930232558139528,0.3247886905645809,0.016666666666666666,0.45095548218068926,0.22626297558840364
"281 km SSE of Port Blair, India",4.4,94.0862,9.4971,10.0,2023-11-09 20:55:05.871,2023,11,9,0.20930232558139528,0.3247886905645809,0.14135802469135803,0.4431060033077608,0.2562583932636372
"197 km N of Bamboo Flat, India",4.5,92.909,13.4736,18.383,2023-11-08 23:21:32.691,2023,11,8,0.23255813953488325,0.18036389961241917,0.0685185185185185,0.44333220283922037,0.21011578379582663
"5 km SW of Hangu, Pakistan",4.2,71.0272,33.4935,10.0,2023-11-08 14:24:52.621,2023,11,8,0.16279069767441845,0.3247886905645809,0.010493827160493827,0.41990094482616863,0.20378251534124042
"20 km WSW of Ashk?sham, Afghanistan",4.4,71.3244,36.6045,221.464,2023-11-08 08:28:25.236,2023,11,8,0.20930232558139528,0.007364531003466531,0.9635802469135801,0.41842599509754363,0.37875590769738154
"112 km NW of Sabang, Indonesia",4.7,94.6503,6.6624,95.025,2023-11-08 05:02:05.284,2023,11,8,0.2790697674418601,0.029106203881315955,0.20925925925925926,0.4231909161493613,0.220744421812199
"99 km N of Sabang, Indonesia",4.7,95.2054,6.7857,188.776,2023-11-07 09:07:03.243,2023,11,7,0.2790697674418601,0.010208620649717443,0.09382716049382715,0.4257987049651566,0.18755316963531066
"Nicobar Islands, India region",4.6,91.6874,7.3119,10.0,2023-11-07 00:02:12.657,2023,11,7,0.2558139534883721,0.3247886905645809,0.02345679012345679,0.4203483832386458,0.23964851137873652
"34 km E of Dailekh, Nepal",5.3,82.0652,28.8564,10.0,2023-11-06 10:46:39.805,2023,11,6,0.41860465116279033,0.3247886905645809,0.02345679012345679,0.4582606287090615,0.30231209238534523
"37 km W of Kunduz, Afghanistan",4.4,68.4447,36.783,32.857,2023-11-05 23:04:47.300,2023,11,5,0.20930232558139528,0.09934710410332477,0.07037037037037036,0.45610426813064464,0.1841008227915088
"32 km W of Kunduz, Afghanistan",4.1,68.4972,36.7592,51.508,2023-11-05 07:23:21.096,2023,11,5,0.13953488372092981,0.06080955116262118,0.07345679012345678,0.45610426813064464,0.15081943484344162
